customer_id,ten_cong_ty_tieng_viet,ten_cong_ty_tieng_nuoc_ngoai,ten_viet_tat,ma_so_doanh_nghiep,dang_ky_lan_dau,lan_dang_ky_thay_doi,dang_ky_thay_doi,so_dang_ky_kinh_doanh,dia_chi_tru_so,so_dien_thoai,email,von_dieu_le,menh_gia_co_phan,tong_so_co_phan,don_vi,ten_nganh,nganh_nghe_kinh_doanh_chinh,ma_nganh
0102459106,Công ty Cổ phần Chứng khoán DNSE,DNSE SECURITIES JOINT STOCK COMPANY,DNSE JSC,0102459106,30/10/2007,9,25/03/2024,12345678,"Tầng 6 tòa nhà Pax Sky, 63-65 Ngô Thì Nhậm, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",024 7108 9234,info@dnse.com.vn,"3,300,000,000,000","10,000","330,000,000",đồng,Hoạt động dịch vụ tài chính,HOẠT ĐỘNG KINH DOANH CHỨNG KHOÁN,64
4472365844,Công ty Jensen LLC,CÔNG TY JENSEN LLC JOINT STOCK COMPANY,LLC JSC,4472365844,30/06/2011,14,21/01/2022,86870504,"3925 Dorothy Path Suite 382, West Justinville, WV 98073",091 5574061,contact529@tate-baker.biz,3.3E+12,10000,330000000,đồng,Hoạt động dịch vụ tài chính,HOẠT ĐỘNG KINH DOANH CHỨNG KHOÁN,64
3383010608,Công ty Johnston and Sons,CÔNG TY JOHNSTON AND SONS JOINT STOCK COMPANY,SONS JSC,3383010608,29/07/2014,5,14/12/2021,93264075,"413 Michelle Parks Suite 883, Kaneshire, AZ 36347",091 1491236,contact715@miller-lam.com,1E+13,10000,1000000000,đồng,Sản xuất thực phẩm,CHẾ BIẾN THỦY SẢN,1020
7178917124,Công ty French-Acosta,CÔNG TY FRENCH-ACOSTA JOINT STOCK COMPANY,FREN JSC,7178917124,21/12/2010,6,18/05/2022,97829419,"71394 Ricky Mall, North Donaldberg, OR 20798",099 8410892,contact744@howard-rivera.com,50000000000,10000,5000000,đồng,Xây dựng,XÂY DỰNG CÔNG TRÌNH DÂN DỤNG,4100
7350733534,Công ty Smith-Ruiz,CÔNG TY SMITH-RUIZ JOINT STOCK COMPANY,SMIT JSC,7350733534,27/01/2007,7,22/08/2023,21011124,"47683 Anthony Mountain, Port Theresa, TN 32203",090 8754975,contact510@taylor.com,3.3E+12,10000,330000000,đồng,Hoạt động dịch vụ tài chính,HOẠT ĐỘNG KINH DOANH CHỨNG KHOÁN,64
1776831393,Công ty Shaffer-Hurst,CÔNG TY SHAFFER-HURST JOINT STOCK COMPANY,SHAF JSC,1776831393,1/10/2012,12,26/12/2024,96247227,"69190 Derek Parkway Suite 667, North Mark, SD 10238",095 9714858,contact305@hernandez.biz,1E+13,10000,1000000000,đồng,Xây dựng,XÂY DỰNG CÔNG TRÌNH DÂN DỤNG,4100
1624614731,Công ty Johnson LLC,CÔNG TY JOHNSON LLC JOINT STOCK COMPANY,LLC JSC,1624614731,1/2/2008,15,23/08/2025,60978228,"674 Gutierrez Hills, Stephanieburgh, AZ 18985",099 5263433,contact577@pruitt.com,1.2E+11,10000,12000000,đồng,Bất động sản,KINH DOANH BẤT ĐỘNG SẢN,6810
4387472699,"Công ty Mack, Harrison and Jones","CÔNG TY MACK, HARRISON AND JONES JOINT STOCK COMPANY",JONE JSC,4387472699,21/02/2014,1,8/6/2023,53900777,"946 Massey Locks, South Ericland, CT 59749",091 2918794,contact502@rios-mcgee.info,3.3E+12,10000,330000000,đồng,Vận tải,VẬN TẢI HÀNG HÓA BẰNG ĐƯỜNG BỘ,4940
2188100147,"Công ty Smith, Morris and Lawson","CÔNG TY SMITH, MORRIS AND LAWSON JOINT STOCK COMPANY",LAWS JSC,2188100147,20/06/2006,11,4/1/2021,70682218,"0549 Peggy Stravenue, Troychester, WV 42238",095 9919532,contact18@vasquez.com,1.2E+11,10000,12000000,đồng,Hoạt động dịch vụ tài chính,HOẠT ĐỘNG KINH DOANH CHỨNG KHOÁN,64
2965602332,Công ty Marshall PLC,CÔNG TY MARSHALL PLC JOINT STOCK COMPANY,PLC JSC,2965602332,5/12/2013,5,5/1/2025,96467756,"PSC 4831, Box 4882, APO AP 63946",098 9214235,contact807@knox.com,3.3E+12,10000,330000000,đồng,Xây dựng,XÂY DỰNG CÔNG TRÌNH DÂN DỤNG,4100
